  PID TTY           TIME CMD
  821 ??        24:35.60 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  827 ??       4594:30.35 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  830 ??         3:57.53 /usr/libexec/lsd
  848 ??         1:08.09 /usr/sbin/distnoted agent
  849 ??         0:03.00 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  855 ??         0:00.65 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  862 ??         1:06.87 /usr/sbin/distnoted agent
  894 ??         4:26.32 /usr/sbin/filecoordinationd
  897 ??         0:04.54 /System/Library/CoreServices/sharedfilelistd
 1028 ??        12:08.84 /usr/libexec/UserEventAgent (Aqua)
 1034 ??         0:54.49 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.120/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-dinosaur-easter-egg-alt-images --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=28706 --time-ticks-at-unix-epoch=-1750991421831564 --launch-time-ticks=1834800916544 --shared-files --field-trial-handle=1718379636,r,7119950886902248943,7713288524467348054,262144 --variations-seed-version=20250626-050057.503000 --seatbelt-client=159
 1036 ??         3:19.23 /usr/sbin/universalaccessd launchd -s
 1039 ??         0:40.71 /usr/libexec/pboard
 1044 ??         3:10.48 /usr/libexec/nsurlsessiond
 1045 ??         1:42.35 /usr/libexec/rapportd
 1046 ??         1:14.97 /usr/sbin/usernoted
 1048 ??         1:49.98 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
 1053 ??        78:58.67 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1055 ??         0:24.75 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1057 ??         8:35.58 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1059 ??         1:56.73 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1062 ??         1:33.54 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 1068 ??         2:01.70 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1072 ??         1:08.36 /usr/sbin/distnoted agent
 1073 ??         0:02.15 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 1075 ??         0:00.02 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1083 ??         0:33.78 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
 1089 ??        27:05.61 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
 1090 ??         0:32.77 /System/Library/CoreServices/sharedfilelistd
 1095 ??         0:14.08 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1097 ??         0:01.08 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
 1098 ??        16:48.15 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1101 ??         9:19.07 /usr/libexec/sharingd
 1118 ??         0:06.31 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1121 ??         0:08.41 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1122 ??         4:19.28 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1124 ??         1:07.29 /usr/sbin/distnoted agent
 1129 ??         0:55.57 /usr/libexec/ContinuityCaptureAgent server
 1141 ??         1:05.87 /usr/sbin/distnoted agent
 1145 ??        74:09.11 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
 1161 ??         0:26.08 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
 1165 ??         6:32.08 /usr/libexec/nearbyd
 1177 ??         6:49.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1178 ??         1:06.60 /usr/sbin/distnoted agent
 1186 ??         1:05.88 /usr/sbin/distnoted agent
 1187 ??         1:19.45 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
 1200 ??         0:13.11 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 1202 ??         0:00.59 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
 1214 ??         1:33.33 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
 1218 ??         0:00.13 /System/Applications/System Settings.app/Contents/PlugIns/csimporter.appex/Contents/MacOS/csimporter -AppleLanguages ("en-IN")
 1229 ??         1:29.89 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1235 ??         0:20.91 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1236 ??         2:29.02 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1239 ??         0:47.96 /usr/libexec/avconferenced
 1256 ??         6:38.35 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1257 ??         0:55.37 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
 1258 ??         0:03.54 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
 1272 ??         0:11.11 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1274 ??       958:20.00 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
 1279 ??       203:47.35 /Applications/Microsoft OneNote.app/Contents/MacOS/Microsoft OneNote
 1280 ??       339:15.62 /Applications/Microsoft Outlook.app/Contents/MacOS/Microsoft Outlook
 1281 ??        30:16.43 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
 1282 ??        36:14.98 /Applications/Microsoft Excel.app/Contents/MacOS/Microsoft Excel
 1284 ??        21:32.34 /private/var/folders/vb/5ghg_r2x2791ltn264jv17mw0000gp/T/AppTranslocation/7F64C501-0BFA-4FD3-A8A3-E2B4B0D2743F/d/Azure Data Studio.app/Contents/MacOS/Electron
 1285 ??       153:51.58 /Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word
 1286 ??        10:23.28 /Applications/MySQLWorkbench.app/Contents/MacOS/MySQLWorkbench
 1287 ??        10:52.15 /System/Applications/Notes.app/Contents/MacOS/Notes
 1288 ??        58:14.34 /Applications/Postman.app/Contents/MacOS/Postman
 1289 ??        72:54.37 /private/var/folders/vb/5ghg_r2x2791ltn264jv17mw0000gp/T/AppTranslocation/C9EBA672-2BD0-402C-9137-960849DAF0D1/d/Visual Studio Code.app/Contents/MacOS/Electron
 1290 ??        23:03.16 /Applications/Firefox.app/Contents/MacOS/firefox
 1291 ??       3632:36.54 /Applications/Microsoft PowerPoint.app/Contents/MacOS/Microsoft PowerPoint
 1292 ??        83:52.31 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
 1293 ??         0:26.96 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
 1294 ??        29:06.07 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
 1301 ??         0:00.42 automountd
 1303 ??         0:04.73 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
 1305 ??        15:33.53 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
 1319 ??         4:06.77 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
 1320 ??        11:02.26 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
 1323 ??        13:10.67 /usr/libexec/gamepolicyd
 1326 ??         0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
 1328 ??         1:09.72 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
 1355 ??         0:01.93 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.120/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/kamalesh.g/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=137.0.7151.120 --handshake-fd=5
